------- OpenWECD.AeroL 叶片子文件 vs AeroDyn v15.00.* This software design and writen By 赵子祯 -------------------------------------
NREL 15.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         50   NumBlNds           - Number of blade nodes used in the analysis (-)
BlSpn	BlCrvAC	BlSwpAC	BlCrvAng	BlTwist	BlChord	BlAFID	Pitch
2.865304445444150E+01	1.965084748280300E-01	-4.192878615908350E-01	1.576642896749320E-01	7.191354972096500E+00	5.703098512750650E+00	13 	0.324103134216374 
3.104079815897830E+01	2.035393425849660E-01	-3.833468507053410E-01	1.405642801253580E-01	6.551629060916140E+00	5.604676021602160E+00	14 	0.318847293461239 
3.342855186351510E+01	2.082242607643350E-01	-3.520562387211770E-01	8.721579968330170E-02	5.933995702189940E+00	5.471559126660520E+00	15 	0.314689576267523 
3.581630556805180E+01	2.108086308339450E-01	-3.258680587010860E-01	4.014233748419020E-02	5.346089613189340E+00	5.322778014171770E+00	16 	0.311488897995355 
3.820405927258860E+01	2.115700571915650E-01	-3.029463320739350E-01	3.930870169461690E-03	4.796333947019590E+00	5.166482288167050E+00	17 	0.308842921952989 
4.059181297712540E+01	2.111362622888830E-01	-2.833278558945820E-01	-4.892583209487270E-02	4.296593562725410E+00	5.019421327310200E+00	18 	0.306605403111231 
4.297956668166220E+01	2.074921713986660E-01	-2.650005898111190E-01	-1.798131144321640E-01	3.846955194686780E+00	4.885807888739590E+00	19 	0.304361333523131 
4.536732038619900E+01	1.961491644965830E-01	-2.468940178014830E-01	-4.025738645322030E-01	3.445342056797740E+00	4.767959675121790E+00	20 	0.301875662402387 
4.775507409073580E+01	1.739385890780780E-01	-2.286827195540770E-01	-6.993213833205460E-01	3.076913909773020E+00	4.654566079625430E+00	21 	0.299201765613191 
5.014282779527260E+01	1.378633438394940E-01	-2.108533280970960E-01	-1.003820922690400E+00	2.733562457425840E+00	4.541031051711910E+00	22 	0.296485814995329 
5.253058149980940E+01	9.027607400369840E-02	-1.945396261857820E-01	-1.240747486362830E+00	2.412234674442030E+00	4.428175577624730E+00	23 	0.293971193997044 
5.491833520434620E+01	3.445719810261590E-02	-1.805730451752760E-01	-1.415897080086000E+00	2.111690772172120E+00	4.316958876583990E+00	24 	0.291857187324083 
5.730608890888300E+01	-2.772456879271220E-02	-1.686917049154440E-01	-1.531449532522340E+00	1.828396455235500E+00	4.207880735790040E+00	25 	0.290109890288620 
5.969384261341980E+01	-9.317136122682010E-02	-1.591120396576380E-01	-1.615739264090500E+00	1.558783420877330E+00	4.101646187027420E+00	26 	0.288806599799446 
6.208159631795660E+01	-1.623758862177220E-01	-1.520171259813250E-01	-1.803740515356400E+00	1.302436869719710E+00	3.998712335312350E+00	27 	0.288026343981150 
6.446935002249330E+01	-2.434852854714620E-01	-1.475340510338800E-01	-2.116796821704130E+00	1.064427371073830E+00	3.899408676051560E+00	28 	0.287841510446235 
6.685710372703010E+01	-3.387672278625570E-01	-1.442863764849720E-01	-2.460770245763820E+00	8.434461662411670E-01	3.803172543681290E+00	29 	0.287942536145393 
6.924485743156690E+01	-4.485233220920200E-01	-1.428866903746150E-01	-2.765261934448330E+00	6.365641868417880E-01	3.709389453654420E+00	30 	0.288522649411566 
7.163261113610370E+01	-5.691577197429310E-01	-1.431497271870680E-01	-2.996072070835780E+00	4.370289000217610E-01	3.617111741572530E+00	31 	0.289576850745596 
7.402036484064050E+01	-6.981271306483470E-01	-1.449404201922670E-01	-3.157880132952910E+00	2.396567933387980E-01	3.525634918177650E+00	32 	0.291110804575860 
7.640811854517730E+01	-8.322285121101990E-01	-1.477133050470210E-01	-3.257754925092920E+00	3.967768814723920E-02	3.434082670567310E+00	33 	0.293013915108132 
7.879587224971410E+01	-9.695092756948370E-01	-1.511924136895060E-01	-3.310385437884310E+00	-1.728281243479740E-01	3.341933111457590E+00	34 	0.295241211144428 
8.118362595425090E+01	-1.107990118373340E+00	-1.552313867559900E-01	-3.406275737267040E+00	-4.070838313820210E-01	3.248678447761410E+00	35 	0.297784139736421 
8.357137965878770E+01	-1.253249451921610E+00	-1.595783390433830E-01	-3.595872363726420E+00	-6.803776144613040E-01	3.156109679927350E+00	36 	0.300565286724993 
8.595913336332450E+01	-1.407503356114150E+00	-1.641610599715330E-01	-3.796088457251110E+00	-9.992936104276490E-01	3.064580004833830E+00	37 	0.303575377613012 
8.834688706786130E+01	-1.569415649792240E+00	-1.685371839122360E-01	-3.975750664517340E+00	-1.320525255517710E+00	2.972992647082480E+00	38 	0.306704464587845 
9.073464077239810E+01	-1.738609665373030E+00	-1.724347024248260E-01	-4.134012556120940E+00	-1.623298762065710E+00	2.880705106690610E+00	39 	0.309882537642991 
9.312239447693490E+01	-1.913679799182830E+00	-1.755139986377290E-01	-4.262892683845840E+00	-1.884368146311780E+00	2.786969376686510E+00	40 	0.313010725970801 
9.551014818147170E+01	-2.093586929140110E+00	-1.785402748061610E-01	-4.382890604985160E+00	-2.086230093232370E+00	2.691030938627050E+00	41 	0.316390427666528 
9.789790188600840E+01	-2.278630233534070E+00	-1.818549476382100E-01	-4.504426990591770E+00	-2.163998201705830E+00	2.591965555977670E+00	42 	0.320211091898250 
1.002856555905450E+02	-2.468636765792440E+00	-1.856271589973350E-01	-4.656240428293550E+00	-2.175841166085000E+00	2.489323647505210E+00	43 	0.324623117149671 
1.026734092950820E+02	-2.666293052105620E+00	-1.892782116779620E-01	-4.835653360509450E+00	-2.155303774975180E+00	2.383917231097340E+00	44 	0.329454188784972 
1.050611629996180E+02	-2.871202075032240E+00	-1.924886839011190E-01	-5.008509113472640E+00	-2.102909521958460E+00	2.275923816206990E+00	45 	0.334633064130244 
1.074489167041550E+02	-3.083212464328670E+00	-1.950287058969190E-01	-5.174877006858170E+00	-2.018403421317620E+00	2.165466732053690E+00	46 	0.340119040214439 
1.098366704086920E+02	-3.301933250165780E+00	-1.970581013607370E-01	-5.340902805961370E+00	-1.896743213972770E+00	2.052625082558480E+00	47 	0.346055597571465 
1.122244241132290E+02	-3.527723381568590E+00	-1.989581851179340E-01	-5.490470005410410E+00	-1.724325762660470E+00	1.937753326819160E+00	48 	0.352721185642843 
1.146121778177660E+02	-3.758854692855710E+00	-2.002555383444300E-01	-5.660129840633890E+00	-1.508125114401620E+00	1.819662967336160E+00	49 	0.360089029639628 
1.169999315223020E+02	-3.998718787548570E+00	-5.907701779748520E-02	-5.765427375220710E+00	-1.242387706272970E+00	4.999999999999990E-01	50 	0.368181818181818 


